Integration Time (micros): 98000         
Min saturation: -188.99394239295856         
Max saturation: 916.0969101751331         
Wavelength (nm), Intensity (Counts)
3.937752573638041440e+02,3.444564580832186493e+03
3.939899606755421928e+02,3.410022986149746885e+03
3.942046497660437012e+02,3.410022986149746885e+03
3.944193246339256689e+02,3.292965359725923008e+03
3.946339852778049817e+02,3.440726625867470830e+03
3.948486316962985825e+02,3.415779918596820153e+03
3.950632638880234140e+02,3.398509121255600348e+03
3.952778818515964190e+02,3.410022986149746885e+03
3.954924855856344266e+02,3.354372639161371353e+03
3.957070750887545501e+02,3.375481391467306821e+03
3.959216503595736754e+02,3.515566747679423770e+03
3.961362113967085747e+02,3.408104008667388825e+03
3.963507581987764183e+02,3.386995256361453357e+03
3.965652907643940353e+02,3.442645603349828889e+03
3.967798090921783114e+02,3.446483558314544098e+03
3.969943131807462464e+02,3.411941963632104489e+03
3.972088030287147262e+02,3.388914233843811417e+03
3.974232786347008073e+02,3.325587976926005013e+03
3.976377399973212050e+02,3.563541184738367974e+03
3.978521871151930895e+02,3.392752188808526626e+03
3.980666199869332900e+02,3.379319346432022485e+03
3.982810386111587491e+02,3.314074112031858476e+03
3.984954429864862959e+02,3.402347076220315557e+03
3.987098331115331007e+02,3.463754355655763902e+03
3.989242089849159356e+02,3.438807648385113225e+03
3.991385706052516866e+02,3.444564580832186493e+03
3.993529179711574102e+02,3.431131738455681898e+03
3.995672510812499922e+02,3.417698896079177757e+03
3.997815699341463755e+02,3.360129571608444621e+03
3.999958745284635029e+02,3.408104008667388825e+03
4.002101648628183170e+02,3.346696729231940481e+03
4.004244409358277039e+02,3.408104008667388825e+03
4.006387027461086063e+02,3.333263886855436340e+03
4.008529502922780807e+02,3.423455828526251025e+03
4.010671835729528425e+02,3.381238323914380089e+03
4.012814025867500618e+02,3.388914233843811417e+03
4.014956073322865109e+02,3.431131738455681898e+03
4.017097978081791325e+02,3.436888670902755621e+03
4.019239740130449832e+02,3.400428098737957953e+03
4.021381359455008919e+02,3.571217094667798847e+03
4.023522836041638584e+02,3.367805481537875949e+03
4.025664169876508254e+02,3.427293783490966689e+03
4.027805360945785083e+02,3.392752188808526626e+03
4.029946409235641340e+02,3.457997423208690634e+03
4.032087314732245318e+02,3.302560247137711940e+03
4.034228077421766443e+02,3.408104008667388825e+03
4.036368697290373575e+02,3.475268220549910893e+03
4.038509174324236142e+02,3.450321513279259761e+03
